"APPLN_AUTH","APPLN_ID","EARLIEST_FILING_YEAR","APPLN_ABSTRACT","IPC4","PSN_NAME"
"EP",1100,2005,"The method involves displacing two partial regions of a sample in two states, respectively, while irradiation of excitation radiation (A) takes place with an excitation radiation distribution. An image of a luminescent sample has two sample regions in the states, respectively. One of the sample regions prevails for the image of the sample, so that the image has a local resolution which is enhanced in relation to the distribution. An independent claim is also included for a microscope for resolution enhanced luminescence microscopy of a sample.","G01N","CARL ZEISS MICROSCOPY"
"EP",1102,2007,"The method involves measuring the pressure and the temperature of the natural gas so that a value of a control parameter is determined. The physio-chemical parameters corresponding to the parameters of the natural gas are selected. The data about the physio-chemical parameters of the natural gas is transferred to an information output unit.","G01N","ERMISHIN, SERGEY"
"EP",1124,2006,"An open services gateway initiative (OSGi) framework of a service platform provides interfaces for installing, updating and removing software components of at least one application for terminals. The software components include bundles (5,6) for execution of an application. The bundle (5) is a graphical user interface (GUI) bundle which provides a graphical interface for representation of contents. The bundles are decoupled and linked indirectly with one another over an event-administration service mechanism (8) through which communication of events (7) between the bundles occurs.","G06F","VODAFONE HOLDING"
"EP",1126,2006,"Method for allowing prescribed components (K) to be started with minimum delay involves designating at least one of the at least two prescribed components as a first component that is to be used first subsequent to initiation of a start-up phase for system and designating at least another of the at least two prescribed components as an additional component, and executing at least one operating program associated with at least one of the at least two prescribed components before the at least one operating program associated with the at least one another of at least two prescribed components. Independent claims are included for the following: (1) an apparatus running a program for a start-up phase of a system having at least two prescribed components connected to the apparatus; and (2) a system for allowing prescribed components in multimedia system for motor vehicle to be started with minimal level of delay.","G06F","CONTINENTAL AUTOMOTIVE"
"EP",1128,2006,"The automation system has a server computer (1) and two client computers (5,6,7). A medium (universal unique identifier) is provided for the assembly and for obtaining an exclusive communication connection between the server computer and only one of the multiple client servers. Each of the client computers has a device for producing and transmitting requirements to the server computer and the server computer has a device for producing and transmitting reply to each client computer. Independent claims are also included for the following: (1) a method for operating automation system (2) a method for the disassembly of an exclusive connection between a server computer and one of the multiple client computers.","G06F","LENZE DRIVE SYSTEMS"
"EP",1130,2006,"The arrangement has two control equipment (30,40) and a connecting mechanism (20) connects the electrical equipment (10) over interfaces (21,22,23) with the control equipments, whose interface (21) is connected with the control equipment for the transmission of data assigned to a logical equipment (11,12,13) of a kind. Another interface is connected with the control equipment for the transmission of data assigned to a logical equipment of kind and third interface is connected with the control equipment for the transmission of data assigned to a logical equipment of former and latter kind. Independent claims are also included for the following: (1) a method for transmitting of data between control equipment and electrical equipment (2) a connecting mechanism for transmitting of data between control equipment and electrical equipment (3) a connection unit for transmitting of data between the control equipment and electrical equipment.","G06F","CINTERION WIRELESS MODULES"
"EP",1132,2007,"The method involves providing electronic documents (200) in a determined data format e.g. portable document format, as a data file, and providing and inserting digital signature (203) images in the electronic documents in a desired position. A checksum (202) is formed with the inserted signature images over the electronic documents using a predefined hash-function. The checksum is symmetrically coded, and a random value (206) is asymmetrically coded with a public key (208) of keys. The asymmetrically coded random value is added to the electronic documents. Independent claims are also included for the following: (1) a signature system for signing documents and providing a secure data file (2) a computer readable medium comprising a computer program with instructions for executing a method for securing a document.","G06F","STEPOVER"
"EP",1166,2007,"The method involves converting an E-mail message provided for the exchange into a document, which exhibits a standard format, with a decryption function. The converted document is transmitted as a message supplement. An interpretable and/or executable program code, an invisible meta-information region and a unique identification number are included by the document. The document is encoded by a symmetric coding, where a password and a certificate of a sender (1) are transmitted with the document. An independent claim is also included for a system for exchanging an E-mail message.","H04L","UTIMACO SAFEWARE"
"EP",1168,2007,"The method involves installing an application with a function for data maintenance, in a terminal. Requisition for maintenance of data is sent to a computer program from the terminal through utilization of the function for data maintenance. Data is transferred according to the requisition from the mail server and/or a server of message signaling service to a file server, and is stored in file system as a data file. Independent claims are also included for the following: (1) an arrangement for maintaining data (2) a computer program which enables to accomplish the method for maintaining data (3) a computer readable storage medium, on which the program is stored (4) a method, with which the computer program is downloaded from an electronic data network e.g. Internet.","H04L","CORTADO"
"EP",1172,2007,"The method involves receiving image data, which contain pixel data for color information and appropriate control data for image position. Parameters of image frame information are determined from a sequence of the control data of an image and/or partial image. The determined parameters are compared with reference parameters, and control data of the image and/or partial image are generated. The reference parameters are updated by the determined parameters before generating the control data. A description of the image data is generated from the control data and appropriate pixel data.","H04N","INOVA SEMICONDUCTORS"
"EP",1217,2000,"A high-efficiency bypass function added solar cell includes a first conductivity type substrate (1), a second conductivity type region formed at the light receiving side of the substrate (1), an electrode (7) formed at the second conductivity type region, and a region (4) of higher concentration than the substrate (1), arranged in contact with both the substrate (1) and the second conductivity type region and not in contact with the electrode (7). The substrate (1) includes a reflectionless surface construction (13) and a planer portion at the light receiving side. The reflectionless surface construction (13) has a plurality of grid configurations, and includes a first grid portion and a second grid portion having a grid configuration differing in size from that of the first grid portion. The region (4) of higher concentration than the substrate is formed at the first grid portion.","H01L","SHARP CORPORATION"
